,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
327,100132,1400,278,1512,466,1456,372,0.5187784,False,255.03333115496883
328,100133,1138,354,1286,677,1212,515,0.8690879,False,181.46625030566977
329,100133,766,545,878,903,822,724,0.84066755,False,559.5828803671535
330,100133,975,335,1124,671,1049,503,0.8386816,False,336.1681127055331
331,100133,1314,818,1437,1076,1375,947,0.78375655,False,341.0527818388233
332,100133,510,529,588,884,549,706,0.7782732,False,826.0750571225353
333,100133,499,340,590,611,544,475,0.76971304,False,835.3358605974007
334,100133,812,416,910,656,861,536,0.7671708,False,512.8001560062165
335,100133,1727,235,1811,559,1769,397,0.6872955,False,451.3103145287065
336,100133,870,234,999,442,934,338,0.67127466,False,510.929545045107
337,100133,1358,474,1457,829,1407,651,0.6705953,True,58.89821729050889
338,100133,1818,820,1917,1077,1867,948,0.6363547,False,604.12581471081
339,100133,1600,224,1708,493,1654,358,0.6166578,False,377.7949179118216
340,100133,693,212,815,431,754,321,0.5599846,False,677.8274116617002
341,100133,1400,277,1511,466,1455,371,0.5266672,False,250.2418829852429
342,100135,1138,353,1287,677,1212,515,0.87064743,False,178.0
343,100135,975,334,1126,671,1050,502,0.8648094,False,334.61171527607934
344,100135,766,546,858,904,812,725,0.8354079,False,575.3468519076123
345,100135,812,415,910,656,861,535,0.7947465,False,514.2810515661646
346,100135,495,341,590,610,542,475,0.79133785,False,838.3459906267817
347,100135,510,528,588,885,549,706,0.78946,False,830.7213732654288
348,100135,1314,818,1438,1076,1376,947,0.7675545,False,354.02259814876226
349,100135,1351,475,1462,830,1406,652,0.7472172,True,68.09552114493287
350,100135,1727,229,1812,559,1769,394,0.68399376,False,444.08332551448046
351,100135,870,234,999,443,934,338,0.6730727,False,506.82245411978346
352,100135,1601,224,1709,493,1655,358,0.61243767,False,367.85051311640166
353,100135,692,213,815,431,753,322,0.5773901,False,675.7233161583223
354,100135,1824,823,1918,1076,1871,949,0.5461035,False,612.9738983023666
355,100135,1400,279,1510,466,1455,372,0.5342181,False,236.07202290826416
356,100144,979,340,1128,671,1053,505,0.8815162,False,334.5743564590687
357,100144,1138,355,1289,676,1213,515,0.8782804,False,183.84776310850236
358,100144,757,545,864,902,810,723,0.8650985,False,572.4657194976832
359,100144,1340,483,1458,829,1399,656,0.8214571,True,54.70831746635972
360,100144,503,528,587,885,545,706,0.8167049,False,831.6760186514939
361,100144,812,416,910,656,861,536,0.80014193,False,515.1980201825314
362,100144,488,342,591,594,539,468,0.79531276,False,843.8631405624967
363,100144,1303,822,1434,1076,1368,949,0.7872983,False,340.0132350365203
364,100144,870,234,1001,442,935,338,0.68772745,False,513.3585491642269
365,100144,1728,234,1821,559,1774,396,0.6856169,False,455.82672146332095
366,100144,690,213,814,431,752,322,0.59722084,False,682.2975890328207
367,100144,1634,223,1724,491,1679,357,0.5848454,False,397.95477129945306
368,100144,1400,279,1509,466,1454,372,0.5293831,False,251.11352014576994
369,100145,1137,351,1289,676,1213,513,0.87968165,False,191.81762171396036
370,100145,979,340,1129,671,1054,505,0.8699821,False,336.5070578754627
371,100145,757,545,867,902,812,723,0.8670698,False,564.3979092803232
372,100145,1340,483,1455,829,1397,656,0.835336,True,41.72529209005013
373,100145,504,527,587,885,545,706,0.8083221,False,826.879072174402
374,100145,1300,823,1432,1076,1366,949,0.8024627,False,323.0061918911153
375,100145,812,416,910,657,861,536,0.78263915,False,514.9262083056174
376,100145,487,342,591,600,539,471,0.7732407,False,843.3658755249705
377,100145,869,234,1001,443,935,338,0.69542825,False,520.0317298011728
378,100145,1729,234,1822,559,1775,396,0.6811472,False,467.4922459249993
379,100145,691,214,814,432,752,323,0.560767,False,686.4874361559722
380,100145,1400,278,1509,466,1454,372,0.5607247,False,268.16412884649577
381,100145,1644,224,1726,491,1685,357,0.5512316,False,415.7523301197481
382,100155,751,545,864,903,807,724,0.8784028,False,561.0151513105507
383,100155,1138,350,1286,676,1212,513,0.8764015,False,209.3800372528384
384,100155,978,340,1130,672,1054,506,0.85365796,False,344.82024302526094
385,100155,1347,475,1458,831,1402,653,0.8285932,True,38.2099463490856
386,100155,498,519,587,883,542,701,0.8076403,False,823.1767732388955
387,100155,488,342,591,586,539,464,0.7942754,False,847.2744537633599
388,100155,812,416,910,657,861,536,0.7922076,False,517.3490117899134
389,100155,1276,825,1412,1076,1344,950,0.7788672,False,293.6818005937719
390,100155,1740,232,1827,562,1783,397,0.67945075,False,493.1135771807546
391,100155,870,235,1001,442,935,338,0.67147446,False,534.6045267298061
392,100155,690,214,813,432,751,323,0.63424605,False,698.0866708367952
393,100155,1401,278,1510,466,1455,372,0.54670304,False,299.1755337590292
394,100156,750,545,864,903,807,724,0.8816615,False,562.7157364069358
395,100156,1138,349,1285,676,1211,512,0.8790438,False,202.07176942858692
